Num.,Cpd.,structure,Smilies,Ki,reference,
1,JMF 1586,,OC(CC1C(O[Zn]2(OC(C(CC(O)=O)N2)=O)N1)=O)=O,0.05¦ÌM,"Lee CC, Kuo CJ, Hsu MF, Liang PH, Fang JM, Shie JJ, Wang AH:
Structural basis of mercury- and zinc-conjugated complexes
as SARS-CoV 3C-like protease inhibitors. FEBS Lett 2007,
581:5454-5458.",
2,(2S¡¢3 R¡¢4 R¡¢5 S)-2£¬5-Bis(Nbenzyloxycarbonyl-L-Ala-L-Val)-3£¬4dihydroxy-1£¬6-di(3indolyl)hexane,,O[C@@H](C([C@@H](NN[C@@H](C(C)C)C(N[C@@H](C)C(C(OCC1=CC=CC=C1)=O)=O)=O)C2=CNC3=C2C=CC=C3)O)[C@@H](NN[C@@H](C(C)C)C(N[C@@H](C)C(C(OCC4=CC=CC=C4)=O)=O)=O)CC5=CNC6=C5C=CC=C6,0.8¦ÌM,"Shao YM, Yang WB, Peng HP, Hsu MF, Tsai KC, Kuo TH,
Wang AH, Liang PH, Lin CH, Yang AS et al.: Structure-based
design and synthesis of highly potent SARS-CoV 3CL protease
inhibitors. Chembiochem 2007, 8:1654-1657.",
3,(S)-N-(1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)-4-(dimethylamino)benzamide,,O=[N+](C1=CC(Cl)=C(C=C1)NC([C@H](CC2=CC=CC=C2)NC(C3=CC=C(N(C)C)C=C3)=O)=O)[O-],0.03  ¦ÌM,"J. Med. Chem. 2005, 48, 13, 4469-4473",
4,"1H-benzo[d][1,2,3]triazol-1-yl 1H-indole-5-carboxylate",,O=C(ON1N=NC2=CC=CC=C12)C3=CC4=C(NC=C4)C=C3,7.5 nM ,"Wu CY, King KY, Kuo CJ, Fang JM, Wu YT, Ho MY, Liao CL,
Shie JJ, Liang PH, Wong CH: Stable benzotriazole esters as
mechanism-based inactivators of the severe acute respiratory
syndrome 3CL protease. Chem Biol 2006, 13:261-268.",
5,3-((1-(4-(benzyloxy)phenyl)-1H-tetrazol-5-yl)thio)-4-methoxyquinolin-2(1H)-one,,O=C1C(SC2=NN=NN2C3=CC=C(OCC4=CC=CC=C4)C=C3)=C(OC)C5=CC=CC=C5N1,2  ¦ÌM,"Ramajayam R, Tan KP, Liu HG, Liang PH: Synthesis and
evaluation of pyrazolone compounds as SARS-coronavirus
3C-like protease inhibitors. Bioorg Med Chem 2010, 18:7849-
7854.",
6,"benzyl ((2S)-1-(((2S)-3-methyl-1-(((2S)-4-methyl-1-oxo-1-((4,4,4-trifluoro-3-oxo-1-phenylbutan-2-yl)amino)pentan-2-yl)amino)-1-oxobutan-2-yl)amino)-1-oxopropan-2-yl)carbamate",,O=C(N[C@@H](C)C(N[C@@H](C(C)C)C(N[C@H](C(NC(CC1=CC=CC=C1)C(C(F)(F)F)=O)=O)CC(C)C)=O)=O)OCC2=CC=CC=C2,300 nM,"Shao YM, Yang WB, Kuo TH, Tsai KC, Lin CH, Yang AS, Liang PH,
Wong CH: Design, synthesis, and evaluation of trifluoromethyl
ketones as inhibitors of SARS-CoV 3CL protease. Bioorg Med
Chem 2008, 16:4652-4660.",
7,"cyclohexylmethyl (3S,6S,9S,12R)-9-isobutyl-6-isopropyl-3-methyl-1-(5-methylisoxazol-3-yl)-1,4,7,10-tetraoxo-12-(((S)-2-oxopyrrolidin-3-yl)methyl)-2,5,8,11-tetraazapentadecan-15-oate",,CC1=CC(C(N[C@@H](C)C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C[C@@H]2CCNC2=O)CCC(OCC3CCCCC3)=O)=O)=O)=O)=O)=NO1,IC50 : 0.28 ¡À 0.02 ¦Ìmol/L.,"Protein Cell 2013, 4(4): 248¨C250
DOI 10.1007/s13238-013-2841-3",
8,"6-(((1H-3l4-thiazolo[5,4-b]pyridin-2-yl)sulfinyl)methyl)-4-methoxy-2H-pyran-2-one",,O=S(CC(O1)=CC(OC)=CC1=O)C2=SC3=NC=CC=C3N2,IC50 :7.2 ¡À 0.7  ¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
9,"5,7-dichloro-4-hydroxy-3-((1-(4-hydroxyphenyl)-1H-tetrazol-5-yl)thio)quinolin-2(1H)-one",,OC(C=C1)=CC=C1N2C(SC3=C(O)C4=C(Cl)C=C(Cl)C=C4NC3=O)=NN=N2,IC50 :10.6?¡À?1.3¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
10,"2-benzyl-2H-isoindole-4,7-dione",,O=C(C=C1)C2=CN(CC3=CC=CC=C3)C=C2C1=O,IC50 :7.0?¡À?0.8¦Ìmol,"Kuo CJ, Liu HG, Lo YK, Seong CM, Lee KI, Jung YS, Liang PH:
Individual and common inhibitors of coronavirus and
picornavirus main proteases. FEBS Lett 2009, 583:549-555",
