SMILES,RDL_score,QED,STEP,TERMINATED
CC[C@@H](N)CC1C[C@@H](C[C@H](N)C(=O)C=O)C(=O)N1C1(OCC(C)C)CCC(O)CC1,0.84, 0.3332183162900524),2176,TRUE
CC(=O)n1ccc2cc(C(C(=O)N3CC(OCC=O)[C@@H](C(C)(N)/C=C/C=O)C3=O)C(C)(C)c3cc4ccccc4s3)ccc21,0.84, 0.20418695079657065),2183,TRUE
N[C@@H](C[C@@H]1CCNC1=O)C(=O)C=O,0.84, 0.41547120892095857),2631,TRUE
Nc1cccc(C[C@@H](C(=O)C=O)N(CC=O)[C@H](C=O)C[C@@H]2CCNC2=O)c1,0.84, 0.30528245630948236),3793,TRUE
NCc1ccc2c(C[C@H](N)C(=O)C=O)ccnc2c1C[C@@H]1CCNC1=O,0.84, 0.47454268689171475),3996,TRUE
C[C@@H](C(=O)N(C)C(=O)/C=C/C(N)C[C@@H]1CCNC1=O)C(c1ccc(C=O)s1)[C@H](O)[C@@H](N)C(C)(C)c1cccc2ccccc12,0.84, 0.17886146127061275),7188,TRUE
N[C@H](C(=O)C=O)C(c1ccc(/C=C/C=O)cc1)(c1cccs1)[C@@H]1CCNC1=O,0.84, 0.3993262218783173),8049,TRUE
C[C@@H](C(=O)C=O)N(C=O)C(=O)/C=C/C(N)C[C@@H]1CCNC1=O,0.84, 0.32031554930251194),9197,TRUE
[H]N[C@@H](Cc1nnc2n1CC(N)(CCC[C@@H]1CCNC1=O)NC2)C(=O)C=O,0.84, 0.3042791597613854),9288,TRUE
[H]C(=O)C(=O)[C@@H](N)C[C@@H]1CCNC1=O,0.84, 0.41547120892095857),9827,TRUE
O=CC(=O)[C@H](Cc1cccs1)N[C@@H]1CCNC1=O,0.84, 0.5570041577074601),10142,TRUE
[H]C1C[C@@H](C[C@H](N)C(=O)C=O)C(=O)N1,0.84, 0.4154712089209587),10170,TRUE
C[C@H](N)C(=O)NN(CCC(N)=O)C(=O)c1c(CC(N)(/C=C/C=O)[C@@H]2CCNC2=O)cc(C[C@@H](N)CC=O)c2cc[nH]c12,0.84, 0.07724657568957954),10352,TRUE
CC[C@H](NC(=O)/C=C/C(N)(C[C@@H]1CC(C[C@H](N)CC)NC1=O)n1[nH]c(=O)c2ccccc2c1=O)C(=O)O,0.84, 0.2222152106182942),10429,TRUE
CN(C)C1CNC([C@@H]2CCNC2=O)[C@@H](C(N)[C@H](N)C(=O)C=O)N1,0.84, 0.24846461753494115),11066,TRUE
N[C@H](CCN[C@@H](Cc1cccs1)C(=O)C=O)C[C@@H]1CCNC1=O,0.84, 0.41988936000349864),12158,TRUE
NC(/C=C/C(=O)Nc1cccc(CCC=O)c1-n1nnc2cccc(C[C@@H](N)CC=O)c21)C[C@@H]1CCNC1=O,0.84, 0.18877733172482467),12277,TRUE
Cc1nc2cc(COC(C)(/C=C/C(=O)N3CCC(C)CC3[C@@H]3CCNC3=O)NC(=O)c3ccc(Cl)o3)ccc2n1C,0.84, 0.30521687633209305),12725,TRUE
C[C@H](N)C(=O)C(=O)NC(=O)/C=C/C(N)C[C@@H]1CCNC1=O,0.84, 0.3279803640055665),13558,TRUE
O=CC(=O)[C@H](CC1CC1)N[C@@H]1CCNC1=O,0.84, 0.46650116537027925),13887,TRUE
C[C@@H](O)[C@@H](C=O)NC1(c2cc(=O)c3c(O)cc(O)cc3o2)CCC(C(N)(/C=C/C=O)C[C@@H]2CCNC2=O)C1,0.84, 0.18938307472440777),14384,TRUE
O=CC(=O)[C@H](Cc1c(O)c(Cl)cc(Cl)c1Cl)N[C@@H]1CCNC1=O,0.84, 0.3955071938859901),15413,TRUE
CCC(=O)N(c1ccccc1)C1(NC(C)(C)CC)C[C@@H]2[C@@H](OC[C@@H]2OC(=O)/C=C/C(N)C[C@@H]2CCNC2=O)O1,0.84, 0.22087613226728314),16057,TRUE
Cn1cc2nc(-c3cc(C=O)sc3C(N)(/C=C/C=O)C[C@@H]3CCNC3=O)nc-2c(NC(C)(C=O)c2c[nH]cn2)c1,0.84, 0.15798722971688223),16134,TRUE
CCCc1cc(NC(N)(/C=C/C=O)C[C@@H]2CCNC2=O)ccc1C(=N)Nc1cc(O)c2c(=O)c(O)coc2c1,0.84, 0.06748142917016532),18024,TRUE
O=C/C=C/C(C[C@@H]1CCNC1=O)(Nc1nc2cc[nH]cc-2n1)c1oc(C=O)c(-c2ccc(F)cc2Cl)c1O[Na],0.84, 0.15132393321278137),18710,TRUE
CC[C@H](N)C(=O)N(C(=O)/C=C/C(N)C[C@@H]1CCNC1=O)[C@@H](C)C(=O)c1nc(N[C@@H](CC(C)C)B(O)O)cs1,0.84, 0.1044608271811226),19529,TRUE
O=C(O)C(=O)[C@H](Cc1oc2c(O)c(O)cc(O)c2c(=O)c1O)N[C@@H]1CCNC1=O,0.84, 0.16898654145836875),21692,TRUE
C[C@@H](C=O)Nc1coc2cc(N3CCCN(C(N)(/C=C/C=O)C[C@@H]4CCNC4=O)C3=O)cc(O)c2c1=O,0.84, 0.2833106463034022),24408,TRUE
Cc1oc(=O)oc1CNC(/C=C/C=O)(C[C@@H]1CCNC1=O)c1oc(=O)ccc1O[C@H]1CO[C@H]2OCC[C@@H]12,0.84, 0.34113453701691965),25822,TRUE
O=CC(=O)[C@H](Cc1c(Cl)cc(F)cc1C1CCC1)N[C@@H]1CCNC1=O,0.84, 0.570661684030963),26193,TRUE
O=C(O)C(=O)[C@H](Cc1cc2ccccc2s1)N[C@@H]1CCNC1=O,0.84, 0.6845284601343417),26655,TRUE
[H]N[C@@H](C[C@@H]1CCNC1=O)C(=O)C=O,0.84, 0.41547120892095857),27124,TRUE
NC(/C=C/C(=O)N[C@H](C=O)[C@@H](O)Cc1cc2ccccc2s1)(C[C@@H]1CCNC1=O)c1ccc(C(=O)CF)o1,0.84, 0.15580675675913233),27453,TRUE
[H]C(=O)C(=O)[C@H](Cc1ccc(Cl)cc1)N[C@@H]1CCNC1=O,0.84, 0.5916201476842107),27943,TRUE
O=CC(=O)[C@H](CC1CCCC1)N[C@@H]1CCNC1=O,0.84, 0.5221923137187612),27957,TRUE
CC(C)C[C@H](N[C@@H]1CCNC1=O)C(=O)N[C@@H](C)C(=O)C=O,0.84, 0.39983696469011826),28090,TRUE
CC(/C=C/C=O)NC(=O)[C@@H](O)C(C=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc(-n2ccnn2)cs1,0.84, 0.1435756611031682),28314,TRUE
CSC1CCC[C@@H]2C([C@@H]3CCNC3=O)N[C@H](C[C@H](N)C(=O)C=O)C[C@H]12,0.84, 0.4664215175191455),29966,TRUE
NC(=O)COC(=O)/C=C/C(N)C[C@H]1C(Oc2nc3ccccc3c3ccccc23)OC(=O)C1(C[C@@H]1CCNC1=O)[C@H](N)C=O,0.84, 0.097286440924713),30120,TRUE
O=CC(=O)[C@H](Cn1nnc2cccc(Oc3nc4ccccc4c4ccccc34)c21)N[C@@H]1CCNC1=O,0.84, 0.1913745154201853),30925,TRUE
Cc1noc(Nc2[nH]nnc2N(C(=O)c2cccs2)C(C)(/C=C/C=O)[C@@H]2CCNC2=O)c1[N+](=O)[O-],0.6, 0.1697172579500351),2967,TRUE
C[C@@H](C=O)C[C@H](O)C(c1cc(F)c(F)cc1F)N(C(=O)/C=C/c1ccccc1)C(/C=C/C=O)C[C@@H]1CCNC1=O,0.6, 0.2212155560531336),5333,TRUE
CC(C[C@@H]1CCN(c2nccs2)C1=O)C(C(=O)NC(C)(/C=C/C=O)Oc1ccccc1)c1cccnn1,0.6, 0.23302381276585074),7342,TRUE
C[C@H](N[C@@H]1CCNC1=O)C(=O)C=O,0.6, 0.4169174949055494),8658,TRUE
[H]NC([H])[C@H](N[C@@H]1CCNC1=O)C(=O)C=O,0.6, 0.337109539384828),9001,TRUE
Cc1noc(C)c1-c1ccoc1/C=C(/C=O)NC(=O)/C=C/C(C[C@@H]1CCNC1=O)NC(=O)N[C@@H](C)C=O,0.6, 0.25971112468877405),23316,TRUE
CC(C[C@@H]1CCNC1=O)C(C(=O)N(c1c[nH]nn1)C(C)/C=C/C=O)c1cc(=O)c2c(O)cc(O)cc2o1,0.6, 0.2468720862595112),24296,TRUE
Cc1cnc(C(=O)NC(/C=C/C(=O)Oc2nc3ccccc3c3ccc(-c4ccc([N+](=O)[O-])cc4)cc23)C[C@@H]2CCNC2=O)cn1,0.6, 0.07738329740188907),24842,TRUE
O=C/C=C/C(NC(=O)c1cnccn1)C(Oc1nc2ccccc2c2ccccc12)(c1ccccc1)[C@@H]1CCNC1=O,0.6, 0.15862663135405092),30162,TRUE
CC[C@@H](N)Cc1ccc(-c2ccc(C[C@H](N)C(=O)C=O)cc2)cc1C,0.25, 0.5720235256456749),5494,TRUE
CCCc1cccc2cnc3cccc(CC(N)C(=O)C(N)=O)c3c12,0.25, 0.532972065560024),6138,TRUE
N[C@@H](Cc1c(Nc2ccccc2)ccc(Cl)c1Cl)C(=O)C=O,0.25, 0.6261355052658693),6390,TRUE
N[C@H](C(=O)C=O)C(c1c(N2C[C@H]3CCC[C@H]3C2)ccc(Cl)c1Cl)C1CCCCC1,0.25, 0.503263039421948),7076,TRUE
CC[C@H](C)c1cc(Sc2ccccc2)c(=O)oc1C[C@H](N)C(=O)C=O,0.25, 0.5755545146900829),7279,TRUE
[H]C([H])(c1c(C)cc(Cc2ccccc2)cc1C)[C@H](N)C(=O)C=O,0.25, 0.6578307377006809),7713,TRUE
N[C@H](C(=O)C=O)C(c1cccc2ccccc12)C1CCCCC1,0.25, 0.6778769682615153),8133,TRUE
O=CC(=O)[C@H](C[C@@H]1C[C@H]2CCCC[C@@H]2CN1)Nc1ccc(F)cc1Cl,0.25, 0.5964251089115797),8511,TRUE
[H]C(=O)[C@H](CCCC)N(C(=O)C(=O)[C@H](C)N[H])c1ccc(Cl)cc1Cl,0.25, 0.5715654222891045),9274,TRUE
C[C@H](N[C@@H]1CC2CCCCC2CN1)C(=O)C(=O)Nc1cccc(-c2cccc(Cl)c2Cl)n1,0.25, 0.5294509165176409),10618,TRUE
